City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Provideniya,RU,2021-12-05 22:55:39,64.3833,-173.3,28.51,93,90,24.61,snow
116,Sistranda,NO,2021-12-05 22:55:40,63.7256,8.834,22.96,69,81,14.5,broken clouds
117,Siderno,IT,2021-12-05 22:55:40,38.2779,16.302,58.17,84,32,5.86,scattered clouds
118,Port Macquarie,AU,2021-12-05 22:55:40,-31.4333,152.9167,69.89,69,99,6.2,overcast clouds
119,Cape Town,ZA,2021-12-05 22:55:40,-33.9258,18.4232,61.27,90,75,3.0,moderate rain
120,Vagur,FO,2021-12-05 22:55:41,61.4732,-6.8119,41.59,63,75,22.59,broken clouds
121,Fairbanks,US,2021-12-05 22:55:41,64.8378,-147.7164,8.92,77,1,0.0,clear sky
122,Port Lincoln,AU,2021-12-05 22:55:41,-34.7333,135.8667,64.36,61,3,5.55,clear sky
123,Hirata,JP,2021-12-05 22:55:42,35.4333,132.8167,33.82,100,20,6.91,few clouds
124,Bandarbeyla,SO,2021-12-05 22:55:42,9.4942,50.8122,76.21,64,5,16.08,clear sky
125,Marsa Matruh,EG,2021-12-05 22:55:42,31.3525,27.2453,62.8,77,40,10.36,scattered clouds
126,Rio Grande,BR,2021-12-05 22:55:43,-32.035,-52.0986,69.94,82,21,11.92,few clouds
127,Avera,US,2021-12-05 22:54:22,33.194,-82.5271,67.66,69,100,5.03,overcast clouds
128,Upernavik,GL,2021-12-05 22:55:43,72.7868,-56.1549,25.09,74,100,3.29,overcast clouds
129,Nikolskoye,RU,2021-12-05 22:55:43,59.7035,30.7861,-0.6,97,8,4.56,clear sky
130,Yumen,CN,2021-12-05 22:55:44,40.2833,97.2,24.57,51,21,16.04,few clouds
131,Constitucion,CL,2021-12-05 22:54:18,-35.3333,-72.4167,63.73,68,5,4.94,clear sky
132,Santa Fe,AR,2021-12-05 22:55:21,-31.6333,-60.7,80.01,59,82,4.0,light rain
133,Mahebourg,MU,2021-12-05 22:55:44,-20.4081,57.7,78.26,78,75,9.22,broken clouds
134,Aksarka,RU,2021-12-05 22:55:45,66.5606,67.7975,-16.85,91,39,13.8,scattered clouds
135,Cidreira,BR,2021-12-05 22:55:45,-30.1811,-50.2056,69.64,87,50,14.76,scattered clouds
136,Gazanjyk,TM,2021-12-05 22:55:45,39.2446,55.5154,47.05,59,100,6.51,overcast clouds
137,George Town,MY,2021-12-05 22:52:01,5.4112,100.3354,77.9,81,20,5.99,few clouds
138,Kamenka,RU,2021-12-05 22:56:46,51.3223,42.7678,26.98,68,93,6.62,overcast clouds
139,Bilibino,RU,2021-12-05 22:56:46,68.0546,166.4372,-19.23,99,100,2.53,light snow
140,Kargasok,RU,2021-12-05 22:56:46,59.0556,80.8572,30.7,97,100,10.76,light snow
141,Bouca,CF,2021-12-05 22:54:13,6.5105,18.2733,75.88,43,100,2.28,overcast clouds
142,Ormara,PK,2021-12-05 22:56:47,25.2088,64.6357,71.76,28,0,13.18,clear sky
143,Suba,PH,2021-12-05 22:56:47,10.8438,121.0102,80.62,72,77,21.9,broken clouds
144,Valle De Allende,MX,2021-12-05 22:56:47,26.9333,-105.4,70.7,18,99,4.21,overcast clouds
145,Gold Coast,AU,2021-12-05 22:56:48,-28.0,153.4333,80.78,71,73,3.0,broken clouds
146,Labuhan,ID,2021-12-05 22:56:48,-6.8844,112.2051,78.49,80,100,6.38,overcast clouds
147,Beisfjord,NO,2021-12-05 22:53:12,68.3751,17.5988,12.25,59,0,8.3,clear sky
148,Dwarka,IN,2021-12-05 22:56:48,22.2394,68.9678,74.19,57,0,13.47,clear sky
149,Lewistown,US,2021-12-05 22:52:33,40.5992,-77.5714,47.61,36,90,4.61,overcast clouds
150,Jinchang,CN,2021-12-05 22:56:49,38.4953,102.1739,27.73,42,33,5.75,scattered clouds
151,Shache,CN,2021-12-05 22:56:49,38.4167,77.2406,29.34,34,100,1.9,overcast clouds
152,Arraial Do Cabo,BR,2021-12-05 22:56:49,-22.9661,-42.0278,75.16,88,20,16.11,few clouds
153,Bambous Virieux,MU,2021-12-05 22:56:50,-20.3428,57.7575,78.22,78,75,9.22,broken clouds
154,Kyren,RU,2021-12-05 22:56:50,51.6828,102.1408,17.82,73,63,3.02,broken clouds
155,Carnarvon,AU,2021-12-05 22:56:50,-24.8667,113.6333,73.47,73,0,16.11,clear sky
156,Petropavlovsk-Kamchatskiy,RU,2021-12-05 22:56:51,53.0452,158.6483,25.39,63,75,8.95,broken clouds
157,Pevek,RU,2021-12-05 22:56:51,69.7008,170.3133,-9.47,96,100,17.13,light snow
158,Pafos,CY,2021-12-05 22:56:51,34.7667,32.4167,55.18,76,20,9.22,few clouds
159,Aljezur,PT,2021-12-05 22:56:52,37.3191,-8.8033,53.35,80,0,11.25,clear sky
160,Tanout,NE,2021-12-05 22:56:52,14.9709,8.8879,67.51,17,80,11.21,broken clouds
161,Sechura,PE,2021-12-05 22:56:52,-5.5569,-80.8222,71.42,68,98,16.62,overcast clouds
162,Margate,GB,2021-12-05 22:56:53,51.3813,1.3862,42.96,91,85,17.85,overcast clouds
163,Pisco,PE,2021-12-05 22:56:53,-13.7,-76.2167,69.85,78,75,16.11,broken clouds
164,East London,ZA,2021-12-05 22:55:35,-33.0153,27.9116,68.79,94,100,4.61,overcast clouds
165,Flinders,AU,2021-12-05 22:56:53,-34.5833,150.8552,68.38,69,98,7.27,overcast clouds
166,Gimli,CA,2021-12-05 22:56:54,50.6336,-96.9907,10.44,72,100,19.57,overcast clouds
167,Port Alfred,ZA,2021-12-05 22:56:54,-33.5906,26.891,68.59,92,100,5.99,overcast clouds
168,Teguldet,RU,2021-12-05 22:56:54,57.3064,88.1667,31.5,92,100,13.44,overcast clouds
169,Severo-Kurilsk,RU,2021-12-05 22:55:45,50.6789,156.125,31.68,77,94,16.49,overcast clouds
170,Vardo,NO,2021-12-05 22:56:55,70.3705,31.1107,8.8,78,19,22.3,few clouds
171,Batagay-Alyta,RU,2021-12-05 22:54:43,67.8006,130.4114,-20.09,98,100,2.62,overcast clouds
172,Homer,US,2021-12-05 22:56:55,59.6425,-151.5483,34.77,94,100,15.7,light rain
173,Port Blair,IN,2021-12-05 22:56:55,11.6667,92.75,78.39,70,24,11.43,few clouds
174,Lata,PT,2021-12-05 22:56:56,40.1629,-8.3327,53.82,95,47,2.8,scattered clouds
175,Sorong,ID,2021-12-05 22:56:56,-0.8833,131.25,81.14,83,96,4.5,overcast clouds
176,Atuona,PF,2021-12-05 22:56:56,-9.8,-139.0333,78.46,76,5,18.14,clear sky
177,Coihaique,CL,2021-12-05 22:56:57,-45.5752,-72.0662,69.75,46,75,6.91,broken clouds
178,Petrolina,BR,2021-12-05 22:56:57,-9.3986,-40.5008,77.05,78,75,17.31,moderate rain
179,Komsomolskiy,UZ,2021-12-05 22:56:57,40.4272,71.7189,40.42,75,100,4.61,mist
180,Dumas,US,2021-12-05 22:56:58,35.8656,-101.9732,69.94,14,1,10.36,clear sky
181,Dunedin,NZ,2021-12-05 22:56:58,-45.8742,170.5036,54.81,66,97,3.0,overcast clouds
182,Sungaipenuh,ID,2021-12-05 22:56:58,-2.0833,101.3833,63.52,96,96,1.68,overcast clouds
183,Kamphaeng Phet,TH,2021-12-05 22:56:59,16.25,99.5,60.04,78,64,3.11,broken clouds
184,Aloleng,PH,2021-12-05 22:56:59,16.1307,119.7824,74.26,72,70,8.97,broken clouds
185,Artyom,AZ,2021-12-05 22:56:59,40.4723,50.333,50.14,85,100,21.56,overcast clouds
186,Cotonou,BJ,2021-12-05 22:58:00,6.3654,2.4183,84.18,84,20,10.36,few clouds
187,Katsuura,JP,2021-12-05 22:56:03,35.1333,140.3,49.1,74,100,8.63,overcast clouds
188,Makaha,US,2021-12-05 22:58:00,21.4694,-158.2175,72.05,78,62,17.34,light rain
189,Bambanglipuro,ID,2021-12-05 22:57:57,-7.95,110.2833,65.61,90,99,5.28,light rain
190,Fairhaven,US,2021-12-05 22:57:44,41.6376,-70.9036,42.1,70,75,3.76,broken clouds
191,Tasiilaq,GL,2021-12-05 22:58:01,65.6145,-37.6368,29.86,92,99,24.56,light snow
192,Bardsir,IR,2021-12-05 22:58:01,29.9227,56.5743,48.92,23,60,5.46,broken clouds
193,Gao,ML,2021-12-05 22:58:01,16.6362,1.637,74.77,11,23,8.72,few clouds
194,Oroville,US,2021-12-05 22:58:02,39.5138,-121.5564,75.76,47,56,1.36,broken clouds
195,Antsohihy,MG,2021-12-05 22:58:02,-14.8796,47.9875,77.07,70,7,4.25,clear sky
196,Pochutla,MX,2021-12-05 22:58:02,15.7432,-96.4661,85.82,59,0,5.95,clear sky
197,Okhotsk,RU,2021-12-05 22:58:03,59.3833,143.3,-12.73,88,19,12.37,few clouds
198,Paris,FR,2021-12-05 22:53:10,48.8534,2.3488,43.38,90,90,4.0,overcast clouds
199,Hofn,IS,2021-12-05 22:58:03,64.2539,-15.2082,41.11,95,100,30.89,moderate rain
200,Torbay,CA,2021-12-05 22:58:03,47.6666,-52.7314,32.68,75,20,6.91,few clouds
201,Iguatemi,BR,2021-12-05 22:58:04,-23.6803,-54.5611,81.16,43,91,3.24,overcast clouds
202,Hunchun,CN,2021-12-05 22:58:04,42.8675,130.3581,20.23,88,5,3.18,clear sky
203,Arlit,NE,2021-12-05 22:58:05,18.7369,7.3853,68.43,17,3,6.08,clear sky
204,Puerto Escondido,MX,2021-12-05 22:58:05,15.85,-97.0667,83.88,64,0,5.88,clear sky
205,Amlame,TG,2021-12-05 22:58:05,7.4667,0.9,76.95,31,67,2.06,broken clouds
206,Kaitangata,NZ,2021-12-05 22:58:06,-46.2817,169.8464,53.92,55,92,8.08,overcast clouds
207,Tongren,CN,2021-12-05 22:58:06,27.7172,109.1853,49.51,76,0,0.72,clear sky
208,Gat,IL,2021-12-05 22:58:06,31.61,34.7642,61.39,55,26,9.33,scattered clouds
209,Yarkovo,RU,2021-12-05 22:58:06,57.4028,67.0786,13.03,95,86,1.7,overcast clouds
210,Sitka,US,2021-12-05 22:58:07,57.0531,-135.33,35.49,75,90,9.22,light snow
211,Nanortalik,GL,2021-12-05 22:58:07,60.1432,-45.2371,27.07,68,96,34.9,light snow
212,Pathein,MM,2021-12-05 22:58:07,16.7833,94.7333,65.7,75,75,3.38,broken clouds
213,Bangkalan,ID,2021-12-05 22:58:08,-7.0455,112.7351,78.75,78,99,9.84,overcast clouds
214,Evensk,RU,2021-12-05 22:58:08,61.95,159.2333,-14.67,80,24,7.94,few clouds
215,Yulara,AU,2021-12-05 22:54:14,-25.2406,130.9889,69.64,68,40,12.66,scattered clouds
216,Kichmengskiy Gorodok,RU,2021-12-05 22:58:08,59.9816,45.7854,-8.57,98,23,2.48,few clouds
217,Grindavik,IS,2021-12-05 22:53:14,63.8424,-22.4338,40.95,93,90,20.71,overcast clouds
218,Northam,GB,2021-12-05 22:58:09,51.0333,-4.2167,42.62,77,83,4.7,broken clouds
219,Pacific Grove,US,2021-12-05 22:58:09,36.6177,-121.9166,72.3,82,40,4.0,haze
220,Fort Nelson,CA,2021-12-05 22:58:09,58.8053,-122.7002,-15.21,70,20,5.75,few clouds
221,Encheng,CN,2021-12-05 22:58:10,22.1839,112.3026,52.75,41,31,4.18,scattered clouds
222,Jacareacanga,BR,2021-12-05 22:58:10,-6.2222,-57.7528,75.11,95,98,1.39,overcast clouds
223,Merauke,ID,2021-12-05 22:58:10,-8.4667,140.3333,81.23,79,100,3.78,overcast clouds
224,Nikki,BJ,2021-12-05 22:58:11,9.9401,3.2108,77.83,25,99,2.33,overcast clouds
225,Boende,CD,2021-12-05 22:54:12,-0.2167,20.8667,71.8,90,100,2.37,overcast clouds
226,Broken Hill,AU,2021-12-05 22:58:11,-31.95,141.4333,73.11,28,40,8.05,scattered clouds
227,Avarua,CK,2021-12-05 22:58:12,-21.2078,-159.775,82.45,83,20,6.91,moderate rain
228,Baragaon,IN,2021-12-05 22:58:12,25.4333,82.8167,66.29,69,0,3.6,clear sky
229,Awjilah,LY,2021-12-05 22:58:12,29.1081,21.2869,57.27,60,0,6.62,clear sky
230,Oranjemund,NA,2021-12-05 22:55:03,-28.55,16.4333,61.86,90,37,7.0,scattered clouds
231,Christchurch,NZ,2021-12-05 22:54:53,-43.5333,172.6333,53.02,87,90,1.01,overcast clouds
232,Bowen,AU,2021-12-05 22:59:13,-20.0167,148.2333,84.42,59,15,15.86,few clouds
233,Itoman,JP,2021-12-05 22:59:13,26.1247,127.6694,68.02,64,20,6.91,few clouds
234,Neryungri,RU,2021-12-05 22:59:13,56.6709,124.6491,-5.85,96,99,3.49,overcast clouds
235,Jawhar,SO,2021-12-05 22:59:14,2.7809,45.5005,74.14,82,30,8.84,scattered clouds
236,Saskylakh,RU,2021-12-05 22:59:14,71.9167,114.0833,-30.32,98,100,4.5,overcast clouds
237,Souillac,MU,2021-12-05 22:59:14,-20.5167,57.5167,78.37,78,75,9.22,broken clouds
238,Faya,SA,2021-12-05 22:59:15,18.3851,42.4509,55.51,70,0,1.79,clear sky
239,Chernyshevskiy,RU,2021-12-05 22:59:15,63.0128,112.4714,-37.77,100,20,3.06,few clouds
240,Hirara,JP,2021-12-05 22:59:15,24.8,125.2833,68.27,68,20,13.8,few clouds
241,Atherton,GB,2021-12-05 22:59:16,53.5237,-2.4935,40.91,81,100,2.44,overcast clouds
242,Paamiut,GL,2021-12-05 22:56:04,61.994,-49.6678,25.16,68,100,13.98,light snow
243,Aswan,EG,2021-12-05 22:59:16,24.0934,32.907,60.1,38,0,9.22,clear sky
244,Coquimbo,CL,2021-12-05 22:59:17,-29.9533,-71.3436,60.53,82,40,11.5,scattered clouds
245,San Pedro,PH,2021-12-05 22:59:17,14.35,121.0167,75.09,78,20,4.61,few clouds
246,Palauig,PH,2021-12-05 22:59:14,15.435,119.9045,75.15,68,91,5.59,overcast clouds
247,Ileza,RU,2021-12-05 22:59:17,61.0533,43.9002,-6.45,100,91,2.21,overcast clouds
248,Muros,ES,2021-12-05 22:59:18,42.7762,-9.0603,53.24,94,52,4.54,broken clouds
249,Lazaro Cardenas,MX,2021-12-05 22:59:18,17.9583,-102.2,82.15,69,65,5.12,broken clouds
250,Santa Rosalia,MX,2021-12-05 22:59:19,27.3167,-112.2833,74.43,33,0,11.81,clear sky
251,Faanui,PF,2021-12-05 22:59:09,-16.4833,-151.75,81.37,66,44,17.02,scattered clouds
252,Olga,RU,2021-12-05 22:59:19,43.7444,135.2892,33.33,94,45,6.62,scattered clouds
253,Nouadhibou,MR,2021-12-05 22:59:19,20.931,-17.0347,67.98,56,39,10.36,dust
254,Lorengau,PG,2021-12-05 22:59:20,-2.0226,147.2712,86.27,72,65,16.33,broken clouds
255,Poum,NC,2021-12-05 22:59:20,-20.2333,164.0167,81.05,74,15,10.74,few clouds
256,Saint-Augustin,CA,2021-12-05 22:59:20,51.226,-58.6502,22.55,61,100,8.1,overcast clouds
257,Marrakesh,MA,2021-12-05 22:55:23,31.6315,-8.0083,50.07,57,0,4.61,clear sky
258,Hokitika,NZ,2021-12-05 22:59:21,-42.7167,170.9667,61.5,55,96,6.93,overcast clouds
259,Iwaki,JP,2021-12-05 22:59:21,37.05,140.8833,42.35,73,77,2.39,broken clouds
260,Alice Springs,AU,2021-12-05 22:59:11,-23.7,133.8833,74.75,50,3,8.05,clear sky
261,Tiksi,RU,2021-12-05 22:59:22,71.6872,128.8694,-16.01,95,100,6.11,overcast clouds
